t,u,v,w,p,q,r,phi,theta,psi,north,east,down,aileron,elevator,rudder,throttle1,throttle2
1.270000000000000000e+02,1.341520930033857724e+02,-1.751263977004553947e-03,-1.280470527491000610e+01,1.374054067781158874e-04,1.400751945255946100e-04,-2.051612241918969091e-04,-2.721211216884178875e-03,-2.093924623597999690e-01,-2.128310536549694820e+00,7.414831049505463625e+02,-1.125320892109199121e+04,4.264981142012908094e+03,0.000000000000000000e+00,-1.000000000000000056e-01,0.000000000000000000e+00,8.000000000000000167e-02,8.000000000000000167e-02
1.280000000000000000e+02,1.336839236529362154e+02,-1.642973085363839524e-03,-1.276354136560609653e+01,1.288393066044634207e-04,-4.195393619133395437e-04,-1.926114791234586840e-04,-2.545951218407081773e-03,-2.095351799921115754e-01,-2.128513428361634929e+00,6.707255404291369132e+02,-1.136660326749737578e+04,4.280317305809156096e+03,0.000000000000000000e+00,-1.000000000000000056e-01,0.000000000000000000e+00,8.000000000000000167e-02,8.000000000000000167e-02
1.290000000000000000e+02,1.332409153694753456e+02,-1.540723235743168395e-03,-1.272475365982916529e+01,1.207548240603989416e-04,-9.470824364630602704e-04,-1.807631128736762705e-04,-2.381805765211579291e-03,-2.102218259038466097e-01,-2.128702523226805532e+00,6.001918046300889955e+02,-1.147959378910695887e+04,4.295651501272282076e+03,0.000000000000000000e+00,-1.000000000000000056e-01,0.000000000000000000e+00,8.000000000000000167e-02,8.000000000000000167e-02
1.300000000000000000e+02,1.328268518751761462e+02,-1.444167099403413776e-03,-1.268866718560074069e+01,1.131248671102294404e-04,-1.437838174760375969e-03,-1.695730697540684449e-04,-2.228025157727167062e-03,-2.114179344313312503e-01,-2.128878789786983194e+00,5.298734416078503955e+02,-1.159219741168366818e+04,4.311056609201045831e+03,0.000000000000000000e+00,-1.000000000000000056e-01,0.000000000000000000e+00,8.000000000000000167e-02,8.000000000000000167e-02
1.310000000000000000e+02,1.324450095209186031e+02,-1.352992579048096708e-03,-1.265556026180425242e+01,1.059249682967216644e-04,-1.887649588998606973e-03,-1.590029011833850434e-04,-2.083923095985664407e-03,-2.130845980638355619e-01,-2.129043127670608548e+00,4.597597684818875337e+02,-1.170443436210270011e+04,4.326600489390921211e+03,0.000000000000000000e+00,-1.000000000000000056e-01,0.000000000000000000e+00,8.000000000000000167e-02,8.000000000000000167e-02
1.320000000000000000e+02,1.320981411959406557e+02,-1.266917635975663191e-03,-1.262566321800691860e+01,9.913289045516786562e-05,-2.292968575023441018e-03,-1.490181400419869607e-04,-1.948869800793628449e-03,-2.151790519853900852e-01,-2.129196372344275723e+00,3.898381683928624284e+02,-1.181632771537442568e+04,4.342345525078555511e+03,0.000000000000000000e+00,-1.000000000000000056e-01,0.000000000000000000e+00,8.000000000000000167e-02,8.000000000000000167e-02
1.330000000000000000e+02,1.317884662237590874e+02,-1.185685606048204367e-03,-1.259915770042751859e+01,9.272827124969123028e-05,-2.650898448625785015e-03,-1.395877293313810589e-04,-1.822285862212972771e-03,-2.176553050440591108e-01,-2.129339299581475053e+00,3.200943803792965809e+02,-1.192790294653368801e+04,4.358348254215533416e+03,0.000000000000000000e+00,-1.000000000000000056e-01,0.000000000000000000e+00,8.000000000000000167e-02,8.000000000000000167e-02
1.340000000000000000e+02,1.315176664350312592e+02,-1.109061006643939683e-03,-1.257617657737308292e+01,8.669230704974126701e-05,-2.959227062765593542e-03,-1.306835040771440754e-04,-1.703636772449173761e-03,-2.204648086861576151e-01,-2.129472629590534183e+00,2.505127830608669228e+02,-1.203918749223848499e+04,4.374659084738968886e+03,0.000000000000000000e+00,-1.000000000000000056e-01,0.000000000000000000e+00,8.000000000000000167e-02,8.000000000000000167e-02
1.350000000000000000e+02,1.312868885295719963e+02,-1.036825835777737933e-03,-1.255680444711801336e+01,8.100747640236980233e-05,-3.216448813554197324e-03,-1.222797258912488693e-04,-1.592428095882890285e-03,-2.235571535667762733e-01,-2.129597030840883143e+00,1.810766696117607921e+02,-1.215021032598238344e+04,4.391322090664429197e+03,0.000000000000000000e+00,-1.000000000000000056e-01,0.000000000000000000e+00,8.000000000000000167e-02,8.000000000000000167e-02
1.360000000000000000e+02,1.310967527422919829e+02,-9.687763607141695486e-04,-1.254107873940244922e+01,7.565730287483966702e-05,-3.421774208403601056e-03,-1.143526697590983258e-04,-1.488201225666815506e-03,-2.268807820289523713e-01,-2.129713123622974713e+00,1.117685120489241513e+02,-1.226100154997618483e+04,4.408374885571365667e+03,0.000000000000000000e+00,-1.000000000000000056e-01,0.000000000000000000e+00,8.000000000000000167e-02,8.000000000000000167e-02
1.370000000000000000e+02,1.309473677153166875e+02,-9.047203873020137274e-04,-1.252899138915101496e+01,7.062615640254340708e-05,-3.575126135119985598e-03,-1.068802624686013980e-04,-1.390529674166280033e-03,-2.303837035424008972e-01,-2.129821483372837054e+00,4.257021333559135456e+01,-1.237159200601116390e+04,4.425848569851902539e+03,0.000000000000000000e+00,-1.000000000000000056e-01,0.000000000000000000e+00,8.000000000000000167e-02,8.000000000000000167e-02
1.380000000000000000e+02,1.308383513562416169e+02,-8.444749937202939913e-04,-1.252049104840592264e+01,6.589909155108164399e-05,-3.677122506337006727e-03,-9.984177170365672799e-05,-1.299015843630287742e-03,-2.340141995946521947e-01,-2.129922643787517611e+00,-2.653665379603957675e+01,-1.248201290698733465e+04,4.443767747924905052e+03,0.000000000000000000e+00,-1.000000000000000056e-01,0.000000000000000000e+00,8.000000000000000167e-02,8.000000000000000167e-02
1.390000000000000000e+02,1.307688573365873879e+02,-7.878647042084257210e-04,-1.251548579057795685e+01,6.146172036536916218e-05,-3.729045522767453734e-03,-9.321754424803346654e-05,-1.213288223856085228e-03,-2.377215044850385650e-01,-2.130017099753025445e+00,-9.557062207009562371e+01,-1.259229549028002839e+04,4.462150611458232561e+03,0.000000000000000000e+00,-1.000000000000000056e-01,0.000000000000000000e+00,8.000000000000000167e-02,8.000000000000000167e-02
1.400000000000000000e+02,1.307376067617117883e+02,-7.347200705020318513e-04,-1.251384625062398115e+01,5.730011680511107856e-05,-3.732798360955000977e-03,-8.698879106249182594e-05,-1.132998965196340248e-03,-2.414564489986488205e-01,-2.130105310101868099e+00,-1.645501194516552914e+02,-1.270247069372340957e+04,4.481009084478537261e+03,0.000000000000000000e+00,-1.000000000000000056e-01,0.000000000000000000e+00,8.000000000000000167e-02,8.000000000000000167e-02
1.410000000000000000e+02,1.307429244303011160e+02,-6.848766218536131520e-04,-1.251540913620824824e+01,5.340074921580738554e-05,-3.690850606710770025e-03,-8.113741628508052296e-05,-1.057821777919950917e-03,-2.451720550061115833e-01,-2.130187700213279633e+00,-2.334932738152787408e+02,-1.281256885470411180e+04,4.500349026071426124e+03,0.000000000000000000e+00,-1.000000000000000056e-01,0.000000000000000000e+00,8.000000000000000167e-02,8.000000000000000167e-02
1.420000000000000000e+02,1.307827790040778666e+02,-6.381741392559419886e-04,-1.251998103867061296e+01,4.975043690100601105e-05,-3.606174189093602506e-03,-7.564588653409187670e-05,-9.874501124786103697e-04,-2.488240705810574049e-01,-2.130264664465700175e+00,-3.024177326970056470e+02,-1.292261943266977869e+04,4.520170486182317291e+03,0.000000000000000000e+00,-1.000000000000000056e-01,0.000000000000000000e+00,8.000000000000000167e-02,8.000000000000000167e-02
1.430000000000000000e+02,1.308548263314312692e+02,-5.944562061685767194e-04,-1.252734246889176362e+01,4.633632666781414854e-05,-3.482171894644493521e-03,-7.049713632641724963e-05,-9.215955794115506276e-04,-2.523714371542183921e-01,-2.130336568548253595e+00,-3.713404982567996626e+02,-1.303265075525131579e+04,4.540468009821794112e+03,0.000000000000000000e+00,-1.000000000000000056e-01,0.000000000000000000e+00,8.000000000000000167e-02,8.000000000000000167e-02
1.440000000000000000e+02,1.309564551157926360e+02,-5.535699868146365821e-04,-1.253725204191358422e+01,4.314588521602864016e-05,-3.322600741109026350e-03,-6.567450500678509624e-05,-8.599865721809761858e-04,-2.557766824133416717e-01,-2.130403751635800091e+00,-4.402777775472469557e+02,-1.314268978815637092e+04,4.561230984764360983e+03,0.000000000000000000e+00,-1.000000000000000056e-01,0.000000000000000000e+00,8.000000000000000167e-02,8.000000000000000167e-02
1.450000000000000000e+02,1.310848340926254139e+02,-5.153661839023411214e-04,-1.254945073528243427e+01,4.016690341570974175e-05,-3.131492559017825562e-03,-6.116170034325599638e-05,-8.023670609167922376e-04,-2.590062349826023347e-01,-2.130466528430653206e+00,-5.092448481825525732e+02,-1.325276192899570378e+04,4.582444027615186315e+03,0.000000000000000000e+00,-1.000000000000000056e-01,0.000000000000000000e+00,8.000000000000000167e-02,8.000000000000000167e-02
1.460000000000000000e+02,1.312369598781088769e+02,-4.796991302007101742e-04,-1.256366614925381953e+01,3.738750883872411237e-05,-2.913074074202192439e-03,-5.694278389069324682e-05,-7.484955296341572325e-04,-2.620306592457162798e-01,-2.130525191073209257e+00,-5.782559395172834229e+02,-1.336289082523445541e+04,4.604087402915787607e+03,0.000000000000000000e+00,-1.000000000000000056e-01,0.000000000000000000e+00,8.000000000000000167e-02,8.000000000000000167e-02
1.470000000000000000e+02,1.314097046766739254e+02,-4.464269724120887694e-04,-1.257961670187155612e+01,3.479618333827596096e-05,-2.671688619914925136e-03,-5.300217334922205337e-05,-6.981440337869800929e-04,-2.648248108960399305e-01,-2.130580010923457834e+00,-6.473241294650313193e+02,-1.347309821649799414e+04,4.626137469778303057e+03,0.000000000000000000e+00,-1.000000000000000056e-01,0.000000000000000000e+00,8.000000000000000167e-02,8.000000000000000167e-02
1.480000000000000000e+02,1.315998630809012013e+02,-4.154119108223492079e-04,-1.259701569811973165e+01,3.238178296512330562e-05,-2.411721355812001741e-03,-4.932465742777928682e-05,-6.510973589022526478e-04,-2.673679158060606187e-01,-2.130631240215486777e+00,-7.164612571024595127e+02,-1.358340380148978329e+04,4.648567150390017559e+03,0.000000000000000000e+00,-1.000000000000000056e-01,0.000000000000000000e+00,8.000000000000000167e-02,8.000000000000000167e-02
1.490000000000000000e+02,1.318041972623454683e+02,-3.865204638483196232e-04,-1.261557521945018223e+01,3.013355803017271362e-05,-2.137529558638750268e-03,-4.589541913296933239e-05,-6.071522644257161495e-04,-2.696435765336571699e-01,-2.130679113587630624e+00,-7.856778512048806533e+02,-1.369382512978240447e+04,4.671346414625735633e+03,0.000000000000000000e+00,-1.000000000000000056e-01,0.000000000000000000e+00,8.000000000000000167e-02,8.000000000000000167e-02
1.500000000000000000e+02,1.320194799314135423e+02,-3.596237324451246210e-04,-1.263500978764538552e+01,2.804117163578926175e-05,-1.853379202964668343e-03,-4.270006390448920474e-05,-5.661167997705372030e-04,-2.716397121758147848e-01,-2.130723849491643396e+00,-8.549830748384873687e+02,-1.380437751871090950e+04,4.694442774954403831e+03,0.000000000000000000e+00,-1.000000000000000056e-01,0.000000000000000000e+00,8.000000000000000167e-02,8.000000000000000167e-02
1.510000000000000000e+02,1.322425345340479055e+02,-3.345976450470963121e-04,-1.265503976486657933e+01,2.609471547535853944e-05,-1.563388695078074065e-03,-3.972464957305323866e-05,-5.278096819111642145e-04,-2.733484383209373036e-01,-2.130765651485135415e+00,-9.243846860868001158e+02,-1.391507399552286734e+04,4.717821785835669289e+03,0.000000000000000000e+00,-1.000000000000000056e-01,0.000000000000000000e+00,8.000000000000000167e-02,8.000000000000000167e-02
1.520000000000000000e+02,1.324702722482744264e+02,-3.113231690323403850e-04,-1.267539445959026700e+01,2.428472212356022470e-05,-1.271480280946459202e-03,-3.695571568984553002e-05,-4.920597257492147257e-04,-2.747658945410159093e-01,-2.130804709412410070e+00,-9.938890149124247273e+02,-1.402592526481782261e+04,4.741447541877056210e+03,0.000000000000000000e+00,-1.000000000000000056e-01,0.000000000000000000e+00,8.000000000000000167e-02,8.000000000000000167e-02
1.530000000000000000e+02,1.326997254406055049e+02,-2.896864794410270176e-04,-1.269581491573852183e+01,2.260217339776193340e-05,-9.813393370421159140e-04,-3.438031033753033818e-05,-4.587053199617211331e-04,-2.758920272266583429e-01,-2.130841200479634434e+00,-1.063500956049831530e+03,-1.413693970114074182e+04,4.765283169166652442e+03,0.000000000000000000e+00,-1.000000000000000056e-01,0.000000000000000000e+00,8.000000000000000167e-02,8.000000000000000167e-02
1.540000000000000000e+02,1.329280773373284035e+02,-2.695790797340890570e-04,-1.271605636949579576e+01,2.103850466015634005e-05,-6.963814826553319740e-04,-3.198601305737777868e-05,-4.275939421979220965e-04,-2.767303356378369439e-01,-2.130875290230996200e+00,-1.133223977692803373e+03,-1.424812336638287707e+04,4.789291304410789053e+03,0.000000000000000000e+00,-1.000000000000000056e-01,0.000000000000000000e+00,8.000000000000000167e-02,8.000000000000000167e-02
1.550000000000000000e+02,1.331526877559622619e+02,-2.508978727116741199e-04,-1.273589036495967086e+01,1.958560515255064192e-05,-4.197272307915536757e-04,-2.976095299754196792e-05,-3.985817083926930949e-04,-2.772875888668461242e-01,-2.130907133432991429e+00,-1.203060145585551936e+03,-1.435948005139609813e+04,4.813434556790299212e+03,0.000000000000000000e+00,-1.000000000000000056e-01,0.000000000000000000e+00,8.000000000000000167e-02,8.000000000000000167e-02
1.560000000000000000e+02,1.333711148254455736e+02,-2.335451823300644725e-04,-1.275510652581530024e+01,1.823581461668529247e-05,-1.541837240981815181e-04,-2.769382179303098832e-05,-3.715329516798396357e-04,-2.775735210374883910e-01,-2.130936874874342912e+00,-1.273010161954970954e+03,-1.447101134095216003e+04,4.837675947799789355e+03,0.000000000000000000e+00,-1.000000000000000056e-01,0.000000000000000000e+00,8.000000000000000167e-02,8.000000000000000167e-02
1.570000000000000000e+02,1.335811326983953222e+02,-2.174287291112718520e-04,-1.277351398560781881e+01,1.698191656061817304e-05,9.776701900224933281e-05,-2.577388102350051783e-05,-3.463198269733647216e-04,-2.776005115463414663e-01,-2.130964650089171020e+00,-1.343073418539791192e+03,-1.458271670088750579e+04,4.861979324747107057e+03,0.000000000000000000e+00,-1.000000000000000056e-01,0.000000000000000000e+00,8.000000000000000167e-02,8.000000000000000167e-02
1.580000000000000000e+02,1.337807453241680378e+02,-2.024615632042396185e-04,-1.279094248389275812e+01,1.581712859506170064e-05,3.339739988408500326e-04,-2.399096436070410782e-05,-3.228219377835014523e-04,-2.773832565355534574e-01,-2.130990586010979015e+00,-1.413248062787967001e+03,-1.469459358597870778e+04,4.886309744058397882e+03,0.000000000000000000e+00,-1.000000000000000056e-01,0.000000000000000000e+00,8.000000000000000167e-02,8.000000000000000167e-02
1.590000000000000000e+02,1.339681964070923925e+02,-1.885619600173154935e-04,-1.280724313957388816e+01,1.473509029172507227e-05,5.526179573336260399e-04,-2.233547471707582845e-05,-3.009259822782354857e-04,-2.769384371143611689e-01,-2.131014801564791838e+00,-1.483531076113942618e+03,-1.480663756680596998e+04,4.910633821049967992e+03,0.000000000000000000e+00,-1.000000000000000056e-01,0.000000000000000000e+00,8.000000000000000167e-02,8.000000000000000167e-02
1.600000000000000000e+02,1.341419757202218932e+02,-1.756532837883514138e-04,-1.282228891610913557e+01,1.372984901714901646e-05,7.522076210883580066e-04,-2.079837684694926884e-05,-2.805254160103188600e-04,-2.762843891542995367e-01,-2.131037408204420558e+00,-1.553918362939917415e+03,-1.491884247359338588e+04,4.934920043382168842e+03,0.000000000000000000e+00,-1.000000000000000056e-01,0.000000000000000000e+00,8.000000000000000167e-02,8.000000000000000167e-02
1.610000000000000000e+02,1.343008219816914561e+02,-1.636638245791125184e-04,-1.283597479600947899e+01,1.279584417772270377e-05,9.315721357051189944e-04,-1.937118594035496902e-05,-2.615201291151734715e-04,-2.754407787997946166e-01,-2.131058510401337980e+00,-1.624404849096466705e+03,-1.503120055477618735e+04,4.959139045992672436e+03,0.000000000000000000e+00,-1.000000000000000056e-01,0.000000000000000000e+00,8.000000000000000167e-02,8.000000000000000167e-02
1.620000000000000000e+02,1.344437225289256901e+02,-1.525266140545148330e-04,-1.284821768421459431e+01,1.192789028080657619e-05,1.089850322495409564e-03,-1.804595279486835040e-05,-2.438161361503622226e-04,-2.744282871834619053e-01,-2.131078206091110427e+00,-1.694984588033690670e+03,-1.514370264784574465e+04,4.983263845905611561e+03,0.000000000000000000e+00,-1.000000000000000056e-01,0.000000000000000000e+00,8.000000000000000167e-02,8.000000000000000167e-02
1.630000000000000000e+02,1.345699100463537263e+02,-1.421792251048952091e-04,-1.285895606155038351e+01,1.112115917822178739e-05,1.226477336597987886e-03,-1.681524616226060654e-05,-2.273252770915793191e-04,-2.732683072295184479e-01,-2.131096587082717431e+00,-1.765650873199039097e+03,-1.525633835987017119e+04,5.007270035918100803e+03,0.000000000000000000e+00,-1.000000000000000056e-01,0.000000000000000000e+00,8.000000000000000167e-02,8.000000000000000167e-02
